Data,Abertura,Valor Máximo,Valor Mínimo,Fechamento,Volume,Retorno diário,Faixa de preço,Variação de preço
1980-12-16,0.08683935362955,0.08683935362955,0.086411602795124,0.086411602795124,105728000,-7.33979740772841,0.000427750834426,-0.000427750834426
1980-12-17,0.0885504037141799,0.0889781604307367,0.0885504037141799,0.0885504037141799,86441600,2.4751316372719545,0.0004277567165568,0.0
1980-12-18,0.0911177098751068,0.0915454609362404,0.0911177098751068,0.0911177098751068,73449600,2.899259690801159,0.0004277510611336,0.0
1980-12-19,0.0966784730553627,0.09710622969892,0.0966784730553627,0.0966784730553627,48630400,6.102834660658107,0.0004277566435572,0.0
1980-12-22,0.1013837754726409,0.1018122974656473,0.1013837754726409,0.1013837754726409,37363200,4.866959798365578,0.0004285219930064,0.0
1980-12-23,0.1056620776653289,0.1060898343366984,0.1056620776653289,0.1056620776653289,46950400,4.219908138894013,0.0004277566713695,0.0
1980-12-24,0.1112228780984878,0.1116506347620666,0.1112228780984878,0.1112228780984878,48003200,5.262815719724934,0.0004277566635788,0.0
1980-12-26,0.1214897558093071,0.1219175125467641,0.1214897558093071,0.1214897558093071,55574400,9.23090454621034,0.0004277567374569,0.0
1980-12-29,0.1232007071375846,0.1236284636521424,0.1232007071375846,0.1232007071375846,93161600,1.408309134280472,0.0004277565145578,0.0
1980-12-30,0.1206341457239722,0.1206341457239722,0.1202064007520675,0.1202064007520675,68880000,-2.430429544672341,0.0004277449719047,-0.0004277449719047
1980-12-31,0.1172121951276881,0.1172121951276881,0.1167844384908676,0.1167844384908676,35750400,-2.846738809073812,0.0004277566368205,-0.0004277566368205
1981-01-02,0.1180676519870758,0.1189231649347121,0.1180676519870758,0.1180676519870758,21660800,1.0987880858018162,0.0008555129476362,0.0
1981-01-05,0.1159289030715551,0.1159289030715551,0.115501157939434,0.115501157939434,35728000,-2.173748697842104,0.000427745132121,-0.000427745132121
1981-01-06,0.1107950919287855,0.1107950919287855,0.1103673353791236,0.1103673353791236,45158400,-4.444823456231017,0.0004277565496619,-0.0004277565496619
1981-01-07,0.1060898343366984,0.1060898343366984,0.1056620776653289,0.1056620776653289,55686400,-4.263270194602098,0.0004277566713695,-0.0004277566713695
1981-01-08,0.10395107419725,0.10395107419725,0.1035233289003372,0.1035233289003372,39827200,-2.0241403654449264,0.0004277452969127,-0.0004277452969127
1981-01-09,0.1090840846300125,0.1095118412089938,0.1090840846300125,0.1090840846300125,21504000,5.371500113784666,0.0004277565789812,0.0
1981-01-12,0.1090840958879802,0.1090840958879802,0.1082285940647125,0.1082285940647125,23699200,-0.784248745544891,0.0008555018232676,-0.0008555018232676
1981-01-13,0.1048065686574967,0.1048065686574967,0.1043788120150566,0.1043788120150566,23049600,-3.557084043200287,0.0004277566424401,-0.0004277566424401
1981-01-14,0.1048065349459648,0.105234291450815,0.1048065349459648,0.1048065349459648,14291200,0.4097794587339276,0.0004277565048502,0.0
1981-01-15,0.1069453358650207,0.1078008376902619,0.1069453358650207,0.1069453358650207,14067200,2.0407133201747474,0.0008555018252412,0.0
1981-01-16,0.1065175720928073,0.1065175720928073,0.1060898154973983,0.1060898154973983,13395200,-0.7999604290384266,0.000427756595409,-0.000427756595409
1981-01-19,0.1125061139464378,0.1129338705236342,0.1125061139464378,0.1125061139464378,41574400,6.047987187984938,0.0004277565771964,0.0
1981-01-20,0.1095118412089938,0.1095118412089938,0.1090840846300125,0.1090840846300125,30083200,-3.041638535355029,0.0004277565789812,-0.0004277565789812
1981-01-21,0.1112228780984878,0.1120783800026565,0.1112228780984878,0.1112228780984878,15904000,1.9606833349975703,0.0008555019041687,0.0
1981-01-22,0.1125061139464378,0.1133616271008307,0.1125061139464378,0.1125061139464378,35548800,1.153751700988792,0.0008555131543929,0.0
1981-01-23,0.1125060430149108,0.1129337993224203,0.1120782867074012,0.1120782867074012,11222400,-0.3802702129061752,0.000855512615019,-0.0004277563075095
1981-01-26,0.1107950919287855,0.1107950919287855,0.1103673353791236,0.1103673353791236,24640000,-1.5265680610770938,0.0004277565496619,-0.0004277565496619
1981-01-27,0.1103673766120973,0.1103673766120973,0.109511874616146,0.109511874616146,23699200,-0.7751032133185065,0.0008555019959513,-0.0008555019959513
1981-01-28,0.1065175720928073,0.1065175720928073,0.1060898154973983,0.1060898154973983,28156800,-3.124829276041974,0.000427756595409,-0.000427756595409
1981-01-29,0.1026677975435767,0.1026677975435767,0.102240040898323,0.102240040898323,43904000,-3.628788099051505,0.0004277566452536,-0.0004277566452536
1981-01-30,0.0975339863424773,0.0975339863424773,0.0966784730553627,0.0966784730553627,46188800,-5.439715980250092,0.0008555132871145,-0.0008555132871145
